customer_id,signup_date,market,segment,plan,acquisition_channel,is_foreign_founder,headcount,cac,churned,churn_date,ltv
SLEEK-0001,2023-04-03,HK,Startup,Starter,Organic,False,6,75.69,False,,2258.43
SLEEK-0002,2022-01-18,SG,Startup,Starter,Organic,False,3,84.8,False,,3356.15
SLEEK-0003,2023-02-11,SG,Startup,Starter,Partner,False,2,132.92,True,2024-01,1537.63
SLEEK-0004,2023-12-15,SG,Startup,Starter,Partner,False,6,178.39,False,,1652.99
SLEEK-0005,2022-01-02,SG,SME,Growth,Partner,False,22,166.38,True,2023-03,11979.12
SLEEK-0006,2024-01-18,AU,Startup,Starter,Paid,False,7,358.0,False,,1925.69
SLEEK-0007,2022-11-23,UK,SME,Growth,Referral,True,25,80.81,False,,22272.94
SLEEK-0008,2024-05-02,UK,SME,Growth,Paid,True,10,575.81,False,,7456.68
SLEEK-0009,2023-10-07,AU,Startup,Starter,Organic,False,7,99.97,False,,2141.31
SLEEK-0010,2023-06-23,HK,Startup,Growth,Organic,False,4,87.42,True,2024-01,3157.2
SLEEK-0011,2022-01-05,SG,Corporate,Full Compliance,Partner,False,48,167.52,False,,59217.66
SLEEK-0012,2022-01-22,SG,SME,Growth,Referral,False,25,64.36,False,,31736.63
SLEEK-0013,2022-11-20,AU,Startup,Starter,Organic,False,4,118.15,True,2024-01,2194.02
SLEEK-0014,2022-09-17,UK,SME,Full Compliance,Paid,True,20,478.08,False,,26045.08
SLEEK-0015,2023-01-20,SG,SME,Growth,Referral,False,27,48.47,False,,29593.98
SLEEK-0016,2022-02-25,SG,Startup,Starter,Referral,False,6,51.02,True,2022-10,1291.64
SLEEK-0017,2024-12-23,SG,Startup,Starter,Referral,False,7,55.48,False,,740.75
SLEEK-0018,2022-01-19,SG,SME,Growth,Referral,True,11,62.12,False,,19336.75
SLEEK-0019,2022-03-16,SG,Corporate,Growth,Partner,False,113,127.94,True,2024-07,88420.9
SLEEK-0020,2024-04-13,HK,Startup,Starter,Paid,False,5,293.57,False,,1420.67
SLEEK-0021,2023-01-13,SG,SME,Growth,Organic,True,20,89.62,True,2023-03,4407.07
SLEEK-0022,2022-01-15,SG,Startup,Growth,Paid,True,7,365.56,True,2024-04,12702.49
SLEEK-0023,2024-07-11,UK,SME,Full Compliance,Partner,True,21,173.3,False,,7162.55
SLEEK-0024,2022-01-05,AU,Corporate,Full Compliance,Organic,False,98,90.61,True,2024-10,116414.36
SLEEK-0025,2023-08-05,SG,SME,Starter,Partner,True,11,133.06,False,,3368.21
SLEEK-0026,2024-10-26,AU,Startup,Full Compliance,Paid,True,6,384.73,False,,4631.17
SLEEK-0027,2023-01-19,SG,Startup,Starter,Referral,False,5,62.27,True,2024-02,1710.32
SLEEK-0028,2023-06-19,HK,SME,Starter,Paid,True,33,380.27,True,2023-07,2522.03
